p,domain_field,domain,n,k,s,m,r,rho_prime_construction,domain_capacity,prime_design_delta,eta_2_over_s,exp_f,exp_g,delta,delta_minus_capacity,close_count,frac_close,S_star,ca_threshold,g_max_single_agreement,meaningful_regime,is_bad_line,predicted_sumset_size
97,GF(97),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,4,True,False,0
97,GF(97),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,1,0.010309,2,6,4,True,False,0
97,GF(97),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,24,0.247423,2,5,4,True,True,0
97,GF(97),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,97,1.0,2,2,4,False,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.702381,-0.25,0,0.0,1,7,1,True,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.733631,-0.2187,0,0.0,1,6,1,True,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.764881,-0.1875,0,0.0,1,5,1,True,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.796131,-0.1562,0,0.0,1,5,1,True,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.827381,-0.125,0,0.0,1,4,1,True,False,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.858631,-0.0937,22,0.34375,1,3,1,True,True,0
97,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.952381,0.0,64,1.0,1,1,1,False,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
97,GF(97),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,97,1.0,2,2,4,False,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,3,10,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,3,9,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,3,8,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,3,7,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,3,6,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,3,6,3,True,False,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,2,0.020619,3,5,3,True,True,0
97,GF(97),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,97,1.0,3,2,3,False,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.366667,-0.5,0,0.0,2,10,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.429167,-0.4375,0,0.0,2,9,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.491667,-0.375,0,0.0,2,8,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.554167,-0.3125,0,0.0,2,7,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.616667,-0.25,0,0.0,2,6,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.62739,-0.2393,0,0.0,2,6,3,True,False,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.679167,-0.1875,16,0.0625,2,5,3,True,True,0
97,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.866667,0.0,256,1.0,2,2,3,False,False,0
97,GF(97),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
97,GF(97),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
97,GF(97),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
97,GF(97),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,97,1.0,2,2,4,False,False,0
97,GF(97),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,2,True,False,0
97,GF(97),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,2,True,False,0
97,GF(97),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,2,True,False,0
97,GF(97),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,97,1.0,2,2,2,False,False,0
97,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.089286,-0.625,0,0.0,2,7,3,True,False,0
97,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.214286,-0.5,0,0.0,2,6,3,True,False,0
97,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.339286,-0.375,0,0.0,2,5,3,True,False,0
97,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.714286,0.0,64,1.0,2,2,3,False,False,0
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.84375,-0.125,0,0.0,2,10,4,True,False,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.859375,-0.1094,0,0.0,2,9,4,True,False,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.864737,-0.104,0,0.0,2,9,4,True,False,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.875,-0.0938,0,0.0,2,8,4,True,False,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.890625,-0.0781,0,0.0,2,7,4,True,False,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.90625,-0.0625,32,0.165803,2,6,4,True,True,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.921875,-0.0469,32,0.165803,2,5,4,True,True,32
193,GF(193),smooth_subgroup,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.96875,0.0,193,1.0,2,2,4,False,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.84375,-0.125,0,0.0,3,10,4,True,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.859375,-0.1094,0,0.0,3,9,4,True,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.864737,-0.104,0,0.0,3,9,4,True,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.875,-0.0938,0,0.0,3,8,4,True,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.890625,-0.0781,0,0.0,3,7,4,True,False,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.90625,-0.0625,10,0.051813,3,6,4,True,True,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.921875,-0.0469,105,0.544041,3,5,4,True,True,32
193,GF(193),random_subset,64,2,32,2,3,0.0312,0.9688,0.9062,0.0625,6,4,0.96875,0.0,193,1.0,3,2,4,False,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.843254,-0.125,0,0.0,2,10,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.858879,-0.1094,0,0.0,2,9,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.864241,-0.104,0,0.0,2,9,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.874504,-0.0937,0,0.0,2,8,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.890129,-0.0781,0,0.0,2,7,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.905754,-0.0625,0,0.0,2,6,3,True,False,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.921379,-0.0469,64,1.0,2,5,3,True,True,32
193,GF(2^6),ext_field_subgroup,63,2,32,2,3,0.0312,0.9683,0.9062,0.0625,5,3,0.968254,0.0,64,1.0,2,2,3,False,False,32
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.6875,-0.25,0,0.0,2,10,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.71875,-0.2188,0,0.0,2,9,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.75,-0.1875,0,0.0,2,8,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,0,0.0,2,6,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,0,0.0,2,5,4,True,False,0
193,GF(193),smooth_subgroup,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,193,1.0,2,2,4,False,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.6875,-0.25,0,0.0,2,10,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.71875,-0.2188,0,0.0,2,9,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.75,-0.1875,0,0.0,2,8,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,0,0.0,2,6,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,0,0.0,2,5,3,True,False,0
193,GF(193),random_subset,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,193,1.0,2,2,3,False,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.702381,-0.25,0,0.0,1,7,1,True,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.733631,-0.2187,0,0.0,1,6,1,True,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.764881,-0.1875,0,0.0,1,5,1,True,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.796131,-0.1562,0,0.0,1,5,1,True,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.827381,-0.125,0,0.0,1,4,1,True,False,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.858631,-0.0937,22,0.34375,1,3,1,True,True,0
193,GF(2^6),ext_field_subgroup,21,1,16,2,3,0.0625,0.9524,0.8125,0.125,3,2,0.952381,0.0,64,1.0,1,1,1,False,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
193,GF(193),smooth_subgroup,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,193,1.0,2,2,4,False,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,3,True,False,0
193,GF(193),random_subset,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,193,1.0,2,2,3,False,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.366667,-0.5,0,0.0,2,10,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.429167,-0.4375,0,0.0,2,9,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.491667,-0.375,0,0.0,2,8,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.554167,-0.3125,0,0.0,2,7,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.616667,-0.25,0,0.0,2,6,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.62739,-0.2393,0,0.0,2,6,3,True,False,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.679167,-0.1875,16,0.0625,2,5,3,True,True,0
193,GF(2^8),ext_field_subgroup,15,2,8,2,3,0.125,0.8667,0.625,0.25,5,3,0.866667,0.0,256,1.0,2,2,3,False,False,0
193,GF(193),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
193,GF(193),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
193,GF(193),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
193,GF(193),smooth_subgroup,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,193,1.0,2,2,4,False,False,0
193,GF(193),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,2,True,False,0
193,GF(193),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,2,True,False,0
193,GF(193),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,2,True,False,0
193,GF(193),random_subset,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,193,1.0,2,2,2,False,False,0
193,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.089286,-0.625,0,0.0,2,7,3,True,False,0
193,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.214286,-0.5,0,0.0,2,6,3,True,False,0
193,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.339286,-0.375,0,0.0,2,5,3,True,False,0
193,GF(2^6),ext_field_subgroup,7,2,4,2,3,0.25,0.7143,0.25,0.5,5,3,0.714286,0.0,64,1.0,2,2,3,False,False,0
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.944087,-0.0481,0,0.0,3,15,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.960938,-0.0312,0,0.0,3,10,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.964844,-0.0273,0,0.0,3,9,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.96875,-0.0234,0,0.0,3,8,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.972656,-0.0195,0,0.0,3,8,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.976562,-0.0156,0,0.0,3,7,4,True,False,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.980469,-0.0117,257,1.0,3,5,4,True,True,256
257,GF(257),smooth_subgroup,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.992188,0.0,257,1.0,3,2,4,False,False,256
257,GF(257),random_subset,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.944087,-0.0481,0,0.0,3,15,4,True,False,256
257,GF(257),random_subset,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.960938,-0.0312,0,0.0,3,10,4,True,False,256
257,GF(257),random_subset,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.964844,-0.0273,0,0.0,3,9,4,True,False,256
257,GF(257),random_subset,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.96875,-0.0234,0,0.0,3,8,4,True,False,256
257,GF(257),random_subset,256,2,128,2,3,0.0078,0.9922,0.9766,0.0156,6,4,0.972656,-0.0195,0,0.0,3,8,4,True,False,256
