family,rho,p,n,k,c,delta,margin_rE_minus_delta,max_cert,construction,heuristic_1_over_1md,volume_qEn,n_trials
smallest_smooth,0.125,12289,4096,512,0.25,0.693604,0.141386,3,random_plurality,3.2637,0.0,3234
smallest_smooth,0.125,257,32,4,0.5,0.71875,0.08844,3,random_plurality,3.5556,0.00014732,4287
smallest_smooth,0.125,257,64,8,0.5,0.734375,0.072815,4,structured_coset,3.7647,2.09e-06,4404
smallest_smooth,0.125,257,128,16,0.5,0.726562,0.080628,3,random_plurality,3.6571,0.0,4523
smallest_smooth,0.125,769,256,32,0.5,0.730469,0.087857,4,structured_coset,3.7101,0.0,3181
smallest_smooth,0.125,7681,512,64,0.5,0.740234,0.092654,4,structured_coset,3.8496,0.0,3469
smallest_smooth,0.125,12289,1024,128,0.5,0.740234,0.094755,4,structured_coset,3.8496,0.0,2797
smallest_smooth,0.125,12289,2048,256,0.5,0.740723,0.094267,4,structured_coset,3.8569,0.0,3117
smallest_smooth,0.125,12289,4096,512,0.5,0.740723,0.094267,4,structured_coset,3.8569,0.0,3340
smallest_smooth,0.125,257,32,4,0.75,0.78125,0.02594,5,greedy,4.5714,1.06778666,5211
smallest_smooth,0.125,257,64,8,0.75,0.765625,0.041565,4,random_plurality,4.2667,0.01520705,5075
smallest_smooth,0.125,257,128,16,0.75,0.765625,0.041565,4,random_plurality,4.2667,0.00023125,5236
smallest_smooth,0.125,769,256,32,0.75,0.773438,0.044888,4,random_plurality,4.4138,0.0,3680
smallest_smooth,0.125,7681,512,64,0.75,0.787109,0.045779,4,random_plurality,4.6972,0.0,4011
smallest_smooth,0.125,12289,1024,128,0.75,0.788086,0.046903,4,random_plurality,4.7189,0.0,3241
smallest_smooth,0.125,12289,2048,256,0.75,0.788086,0.046903,4,random_plurality,4.7189,0.0,3575
smallest_smooth,0.125,12289,4096,512,0.75,0.787842,0.047147,4,random_plurality,4.7135,0.0,3764
