field,q,n,k,rho,n_over_q,johnson,capacity,delta,delta_minus_johnson,delta_minus_capacity,meaningful_regime,smooth_close_mean,random_close_mean,close_mean_diff,smooth_close_max,random_close_max,smooth_frac_bad,random_frac_bad,badfrac_diff,smooth_Sstar_min_among_close,random_Sstar_min_among_close,smooth_num_lines,control_bad
GF(2^8),256,5,2,0.4,0.01953,0.3675,0.6,0.6,0.2325,0.0,False,256.0,256.0,0.0,256,256,0.0,0.0,0.0,2,2,140,0
GF(2^8),256,5,2,0.4,0.01953,0.3675,0.6,0.62,0.2525,0.02,False,256.0,256.0,0.0,256,256,0.0,0.0,0.0,2,2,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.3,-0.2,-0.45,True,0.1429,0.15,-0.0071,1,1,0.0,0.0,0.0,-1,-1,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.4,-0.1,-0.35,True,0.1429,0.15,-0.0071,1,1,0.0,0.0,0.0,-1,-1,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.45,-0.05,-0.3,True,0.1429,0.15,-0.0071,1,1,0.0,0.0,0.0,-1,-1,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.5,0.0,-0.25,True,0.35,0.3214,0.0286,1,2,0.0,0.0214,-0.0214,-1,2,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.5625,0.0625,-0.1875,True,0.35,0.3214,0.0286,1,2,0.0,0.0214,-0.0214,-1,2,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.625,0.125,-0.125,True,43.8929,43.6714,0.2214,56,56,0.8571,0.85,0.0071,2,2,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.6875,0.1875,-0.0625,True,43.8929,43.6714,0.2214,56,56,0.8571,0.85,0.0071,2,2,140,0
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.75,0.25,0.0,False,257.0,257.0,0.0,257,257,0.0,0.0,0.0,2,2,140,0
