field,q,n,k,rho,domain,has_open_band,J,r_E,cap,UD,e,delta,delta_minus_J,delta_minus_rE,delta_minus_cap,max_list,max_family,johnson_const_bound,elias_volume_exp,elias_volume_pred
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,10,0.666667,0.031815,-0.061476,-0.2,3,random,,0.01406,1.7942
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,11,0.733333,0.098482,0.00519,-0.133333,15,deephole,,0.05876,11.5147
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,12,0.8,0.165148,0.071857,-0.066667,35,deephole,,0.09519,52.4041
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,13,0.866667,0.231815,0.138524,0.0,105,deephole,,0.12145,156.1967
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,14,0.933333,0.298482,0.20519,0.066667,186,nearcw,,0.13328,255.4431
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,3,0.3,-0.252786,-0.356189,-0.5,1,nearcw,9.89,-0.32498,0.0
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,4,0.4,-0.152786,-0.256189,-0.4,1,nearcw,16.363,-0.20783,0.0008
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,5,0.5,-0.052786,-0.156189,-0.3,2,kambire,47.361,-0.10293,0.0292
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,6,0.6,0.047214,-0.056189,-0.2,2,kambire,,-0.00974,0.7156
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,7,0.7,0.147214,0.043811,-0.1,7,random,,0.0712,11.532
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,8,0.8,0.247214,0.143811,0.0,45,deephole,,0.13808,114.6296
GF(31),31,10,2,0.2,smooth,False,0.5528,0.6562,0.8,0.45,9,0.9,0.347214,0.243811,0.1,282,nearcw,,0.18607,595.6829
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,3,0.3,-0.252786,-0.356189,-0.5,1,nearcw,9.89,-0.32498,0.0
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,4,0.4,-0.152786,-0.256189,-0.4,1,nearcw,16.363,-0.20783,0.0008
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,5,0.5,-0.052786,-0.156189,-0.3,2,maxcluster,47.361,-0.10293,0.0292
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,6,0.6,0.047214,-0.056189,-0.2,2,nearcw,,-0.00974,0.7156
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,7,0.7,0.147214,0.043811,-0.1,7,nearcw,,0.0712,11.532
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,8,0.8,0.247214,0.143811,0.0,45,deephole,,0.13808,114.6296
GF(31),31,10,2,0.2,random_domain,False,0.5528,0.6562,0.8,0.45,9,0.9,0.347214,0.243811,0.1,281,nearcw,,0.18607,595.6829
GF(13),13,6,3,0.5,smooth,False,0.2929,0.2454,0.5,0.3333,1,0.166667,-0.126227,-0.078698,-0.333333,1,nearcw,7.922,-0.16287,0.0815
GF(13),13,6,3,0.5,smooth,False,0.2929,0.2454,0.5,0.3333,2,0.333333,0.04044,0.087968,-0.166667,3,deephole,,0.07109,2.9863
GF(13),13,6,3,0.5,smooth,False,0.2929,0.2454,0.5,0.3333,3,0.5,0.207107,0.254635,0.0,20,deephole,,0.25463,50.3377
GF(13),13,6,3,0.5,smooth,False,0.2929,0.2454,0.5,0.3333,4,0.666667,0.373773,0.421302,0.166667,166,nearcw,,0.39402,430.0337
GF(13),13,6,3,0.5,smooth,False,0.2929,0.2454,0.5,0.3333,5,0.833333,0.54044,0.587968,0.333333,839,deephole,,0.48299,1690.9612
GF(13),13,6,3,0.5,random_domain,False,0.2929,0.2454,0.5,0.3333,1,0.166667,-0.126227,-0.078698,-0.333333,1,nearcw,7.922,-0.16287,0.0815
GF(13),13,6,3,0.5,random_domain,False,0.2929,0.2454,0.5,0.3333,2,0.333333,0.04044,0.087968,-0.166667,3,random,,0.07109,2.9863
GF(13),13,6,3,0.5,random_domain,False,0.2929,0.2454,0.5,0.3333,3,0.5,0.207107,0.254635,0.0,20,deephole,,0.25463,50.3377
GF(13),13,6,3,0.5,random_domain,False,0.2929,0.2454,0.5,0.3333,4,0.666667,0.373773,0.421302,0.166667,166,nearcw,,0.39402,430.0337
GF(13),13,6,3,0.5,random_domain,False,0.2929,0.2454,0.5,0.3333,5,0.833333,0.54044,0.587968,0.333333,839,deephole,,0.48299,1690.9612
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,4,0.333333,-0.166667,-0.20523,-0.416667,1,kambire,12.0,-0.17891,0.0041
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,5,0.416667,-0.083333,-0.121897,-0.333333,2,maxcluster,24.0,-0.08154,0.0813
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,6,0.5,0.0,-0.038563,-0.25,2,kambire,,0.00463,1.1533
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,7,0.583333,0.083333,0.04477,-0.166667,6,nearcw,,0.07993,11.7062
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,8,0.666667,0.166667,0.128103,-0.083333,39,deephole,,0.14402,84.1734
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,9,0.75,0.25,0.211437,0.0,220,deephole,,0.19583,414.734
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,10,0.833333,0.333333,0.29477,0.083333,793,kambire,,0.23299,1301.4793
GF(13),13,12,3,0.25,smooth,False,0.5,0.5386,0.75,0.4167,11,0.916667,0.416667,0.378103,0.166667,1390,deephole,,0.24989,2189.5706
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,4,0.333333,-0.166667,-0.20523,-0.416667,1,kambire,12.0,-0.17891,0.0041
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,5,0.416667,-0.083333,-0.121897,-0.333333,2,maxcluster,24.0,-0.08154,0.0813
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,6,0.5,0.0,-0.038563,-0.25,2,kambire,,0.00463,1.1533
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,7,0.583333,0.083333,0.04477,-0.166667,6,nearcw,,0.07993,11.7062
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,8,0.666667,0.166667,0.128103,-0.083333,39,deephole,,0.14402,84.1734
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,9,0.75,0.25,0.211437,0.0,220,deephole,,0.19583,414.734
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,10,0.833333,0.333333,0.29477,0.083333,793,kambire,,0.23299,1301.4793
GF(13),13,12,3,0.25,random_domain,False,0.5,0.5386,0.75,0.4167,11,0.916667,0.416667,0.378103,0.166667,1390,deephole,,0.24989,2189.5706
GF(2^6),64,7,2,0.2857,smooth,False,0.4655,0.5715,0.7143,0.4286,2,0.285714,-0.179763,-0.2858,-0.428571,1,nearcw,9.735,-0.2858,0.0002
GF(2^6),64,7,2,0.2857,smooth,False,0.4655,0.5715,0.7143,0.4286,3,0.428571,-0.036906,-0.142943,-0.285714,2,maxcluster,47.418,-0.12313,0.0277
GF(2^6),64,7,2,0.2857,smooth,False,0.4655,0.5715,0.7143,0.4286,4,0.571429,0.105951,-8.6e-05,-0.142857,7,deephole,,0.01918,1.748
GF(2^6),64,7,2,0.2857,smooth,False,0.4655,0.5715,0.7143,0.4286,5,0.714286,0.248808,0.142772,0.0,21,deephole,,0.14115,60.8947
GF(2^6),64,7,2,0.2857,smooth,False,0.4655,0.5715,0.7143,0.4286,6,0.857143,0.391665,0.285629,0.142857,434,deephole,,0.23822,1027.8322
GF(2^6),64,7,2,0.2857,random_domain,False,0.4655,0.5715,0.7143,0.4286,2,0.285714,-0.179763,-0.2858,-0.428571,1,nearcw,9.735,-0.2858,0.0002
GF(2^6),64,7,2,0.2857,random_domain,False,0.4655,0.5715,0.7143,0.4286,3,0.428571,-0.036906,-0.142943,-0.285714,1,kambire,47.418,-0.12313,0.0277
GF(2^6),64,7,2,0.2857,random_domain,False,0.4655,0.5715,0.7143,0.4286,4,0.571429,0.105951,-8.6e-05,-0.142857,3,nearcw,,0.01918,1.748
GF(2^6),64,7,2,0.2857,random_domain,False,0.4655,0.5715,0.7143,0.4286,5,0.714286,0.248808,0.142772,0.0,21,deephole,,0.14115,60.8947
GF(2^6),64,7,2,0.2857,random_domain,False,0.4655,0.5715,0.7143,0.4286,6,0.857143,0.391665,0.285629,0.142857,434,nearcw,,0.23822,1027.8322
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,3,0.333333,-0.195262,-0.317919,-0.444444,1,nearcw,11.523,-0.29266,0.0
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,4,0.444444,-0.084151,-0.206807,-0.333333,1,nearcw,26.738,-0.16984,0.0017
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,5,0.555556,0.02696,-0.095696,-0.222222,2,maxcluster,,-0.05915,0.1093
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,6,0.666667,0.138071,0.015415,-0.111111,4,nearcw,,0.03941,4.3721
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,7,0.777778,0.249182,0.126526,0.0,36,deephole,,0.12442,105.332
GF(2^6),64,9,2,0.2222,smooth,False,0.5286,0.6513,0.7778,0.4444,8,0.888889,0.360293,0.237637,0.111111,551,nearcw,,0.19162,1302.9485
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,3,0.333333,-0.195262,-0.317919,-0.444444,1,nearcw,11.523,-0.29266,0.0
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,4,0.444444,-0.084151,-0.206807,-0.333333,2,maxcluster,26.738,-0.16984,0.0017
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,5,0.555556,0.02696,-0.095696,-0.222222,2,maxcluster,,-0.05915,0.1093
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,6,0.666667,0.138071,0.015415,-0.111111,5,kambire,,0.03941,4.3721
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,7,0.777778,0.249182,0.126526,0.0,36,deephole,,0.12442,105.332
GF(2^6),64,9,2,0.2222,random_domain,False,0.5286,0.6513,0.7778,0.4444,8,0.888889,0.360293,0.237637,0.111111,552,nearcw,,0.19162,1302.9485
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,4,0.333333,-0.166667,-0.262832,-0.416667,1,kambire,12.0,-0.24292,0.0
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,5,0.416667,-0.083333,-0.179498,-0.333333,1,kambire,24.0,-0.1484,0.0016
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,6,0.5,0.0,-0.096165,-0.25,2,kambire,,-0.06184,0.0686
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,7,0.583333,0.083333,-0.012832,-0.166667,3,nearcw,,0.017,2.089
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,8,0.666667,0.166667,0.070502,-0.083333,38,kambire,,0.08788,45.0629
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,9,0.75,0.25,0.153835,0.0,220,deephole,,0.15004,666.0941
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,10,0.833333,0.333333,0.237168,0.083333,2377,kambire,,0.20179,6270.8217
GF(37),37,12,3,0.25,smooth,False,0.5,0.5962,0.75,0.4167,11,0.916667,0.416667,0.320502,0.166667,14206,deephole,,0.23915,31649.5404
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,4,0.333333,-0.166667,-0.262832,-0.416667,1,nearcw,12.0,-0.24292,0.0
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,5,0.416667,-0.083333,-0.179498,-0.333333,1,nearcw,24.0,-0.1484,0.0016
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,6,0.5,0.0,-0.096165,-0.25,2,maxcluster,,-0.06184,0.0686
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,7,0.583333,0.083333,-0.012832,-0.166667,4,random,,0.017,2.089
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,8,0.666667,0.166667,0.070502,-0.083333,17,random,,0.08788,45.0629
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,9,0.75,0.25,0.153835,0.0,220,deephole,,0.15004,666.0941
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,10,0.833333,0.333333,0.237168,0.083333,2107,nearcw,,0.20179,6270.8217
GF(37),37,12,3,0.25,random_domain,False,0.5,0.5962,0.75,0.4167,11,0.916667,0.416667,0.320502,0.166667,14206,deephole,,0.23915,31649.5404
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,5,0.333333,-0.150269,-0.197047,-0.4,1,nearcw,12.478,-0.17819,0.0006
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,6,0.4,-0.083602,-0.13038,-0.333333,1,nearcw,22.428,-0.09991,0.0157
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,7,0.466667,-0.016936,-0.063714,-0.266667,2,maxcluster,110.714,-0.02833,0.3078
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,8,0.533333,0.049731,0.002953,-0.2,3,nearcw,,0.03678,4.6171
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,9,0.6,0.116398,0.06962,-0.133333,25,deephole,,0.09544,52.9396
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,10,0.666667,0.183064,0.136286,-0.066667,168,deephole,,0.14739,459.3161
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,11,0.733333,0.249731,0.202953,-0.0,1365,deephole,,0.19209,2947.7688
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,12,0.8,0.316398,0.26962,0.066667,4483,nearcw,,0.22853,13415.4569
GF(2^4),16,15,4,0.2667,smooth,False,0.4836,0.5304,0.7333,0.4,13,0.866667,0.383064,0.336286,0.133333,16415,deephole,,0.25479,39986.3601
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,5,0.333333,-0.150269,-0.197047,-0.4,1,nearcw,12.478,-0.17819,0.0006
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,6,0.4,-0.083602,-0.13038,-0.333333,1,nearcw,22.428,-0.09991,0.0157
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,7,0.466667,-0.016936,-0.063714,-0.266667,2,maxcluster,110.714,-0.02833,0.3078
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,8,0.533333,0.049731,0.002953,-0.2,4,nearcw,,0.03678,4.6171
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,9,0.6,0.116398,0.06962,-0.133333,25,deephole,,0.09544,52.9396
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,10,0.666667,0.183064,0.136286,-0.066667,168,deephole,,0.14739,459.3161
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,11,0.733333,0.249731,0.202953,-0.0,1365,deephole,,0.19209,2947.7688
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,12,0.8,0.316398,0.26962,0.066667,4501,nearcw,,0.22853,13415.4569
GF(2^4),16,15,4,0.2667,random_domain,False,0.4836,0.5304,0.7333,0.4,13,0.866667,0.383064,0.336286,0.133333,16415,deephole,,0.25479,39986.3601
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,1,0.125,-0.167893,-0.141048,-0.375,1,kambire,5.956,-0.24469,0.0039
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,2,0.25,-0.042893,-0.016048,-0.25,1,kambire,23.314,-0.05687,0.2755
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,3,0.375,0.082107,0.108952,-0.125,5,nearcw,,0.10048,9.7515
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,4,0.5,0.207107,0.233952,0.0,70,deephole,,0.23395,200.8742
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,5,0.625,0.332107,0.358952,0.125,897,kambire,,0.34513,2496.3779
GF(17),17,8,4,0.5,smooth,False,0.2929,0.266,0.5,0.3125,6,0.75,0.457107,0.483952,0.25,6398,deephole,,0.43243,18058.2896
